Policy,BuildingLoss,AppurtenantLoss,ContentLoss,AleLoss,TotalLoss
10055,10684358.388076423596,46333.282783831355,3530.511742660817,0.000000000000,10734222.182602915768
10056,9790418.782811190747,413740.720077553157,0.000000000000,0.000000000000,10204159.502888743903
10057,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
10058,9511354.479353125907,0.000000000000,0.000000000000,0.000000000000,9511354.479353125907
10059,10414007.291622697393,0.000000000000,12689.529577488856,0.000000000000,10426696.821200186249
1006,1763782.147949343095,0.000000000000,0.000000000000,0.000000000000,1763782.147949343095
10060,10609577.338734426758,112527.504513003417,70190.915281713025,0.000000000000,10792295.758529143201
10061,10609577.338734426758,112527.504513003417,70190.915281713025,0.000000000000,10792295.758529143201
10062,11775158.456138282142,86892.526724368138,108579.494457936149,0.000000000000,11970630.477320586428
10063,8784392.295180367472,7698.824250261317,0.000000000000,0.000000000000,8792091.119430628789
